"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.endothelial","log2fold_change","Auc"
"765","DNAH17","hurdle",0.846676855224356,2.372742,3.121015,0.748273,0.496
"584","CMPK1","hurdle",0.914731810546818,5.506837,6.423746,0.916909,0.496
"19","ACER2","hurdle",0.00436536681548032,-1.125036,3.760221,4.885257,0.496
"3067","TRMT1","hurdle",0.689950480578933,2.70295,3.307429,0.604479,0.495
"2832","STAB2","hurdle",0.0238590748914207,-1.342489,1.70044,3.042929,0.495
"2738","SNORD26","hurdle",0.0476976078795873,-1.4876061,0.8073549,2.294961,0.495
"2533","SENP8","hurdle",0.243746751887689,-0.1220706,1.7441611,1.8662317,0.495
"2087","PGAM2","hurdle",0.297228726743109,2.789749,3.981853,1.192104,0.495
"1651","LRRC59","hurdle",0.918786963316185,3.420048,5.108524,1.688476,0.495
"1569","LOC100616668","hurdle",0.702219908973311,3.126013,4.590961,1.464948,0.495
"984","FBXL7","hurdle",0.831841947379339,3.617041,5.283551,1.66651,0.495
"518","CENPN","hurdle",0.05278547740581,2.071037,4.329124,2.258087,0.495
"279","C11orf83","hurdle",0.409801195422545,2.156555,3.590961,1.434406,0.495
"206","B9D2","hurdle",0.276044065438207,2.22802,4.108524,1.880504,0.495
"3200","WDR65","hurdle",0.371665081433684,0.5444761,1.2630344,0.7185583,0.494
"3143","USF2","hurdle",0.0658876394234654,0.7100396,2.4724878,1.7624482,0.494
"2983","TMC4","hurdle",0.092475184128748,-0.01918141,2.30742853,2.32660994,0.494
"2060","PCDHGB2","hurdle",0.322184275776756,1.88015,3.498251,1.618101,0.494
"1940","NPAS1","hurdle",0.305722894188162,-0.5068167,0.5360529,1.0428696,0.494
"1820","MRPL45P2","hurdle",0.386642525624689,2.868642,3.705978,0.837336,0.494
"1642","LRGUK","hurdle",0.419090495854304,0.05081379,0.96347412,0.91266033,0.494
"1594","LOC388499","hurdle",0.269494522607932,-1.6152203,-0.7369656,0.8782547,0.494
"1334","IQCC","hurdle",0.173099958810626,1.812014,4.149747,2.337733,0.494
"1291","IFNAR1","hurdle",0.913550514504467,5.518404,6.804776,1.286372,0.494
"1227","HIST2H2BF","hurdle",0.244299947679817,1.83203,2.57289,0.74086,0.494
"1083","GAS1","hurdle",0.378002905904019,1.796425,2.786596,0.990171,0.494
"945","FAM174B","hurdle",0.0242128772603645,2.300538,3.89724,1.596702,0.494
"790","DPH2","hurdle",0.32228441105235,2.84459,5.53294,2.68835,0.494
"681","CTSS","hurdle",0.739847055562475,3.303574,4.974988,1.671414,0.494
"509","CDKN2AIP","hurdle",0.181151154413781,4.260338,5.809929,1.549591,0.494
"347","C2orf76","hurdle",0.507520542079143,2.120702,3.035624,0.914922,0.494
"3313","ZNF789","hurdle",0.918776384813915,4.155181,5.880196,1.725015,0.493
"3141","UNK","hurdle",0.408229279653102,1.940965,3.578939,1.637974,0.493
"3070","TRPC4","hurdle",0.828757418400025,4.110811,4.652486,0.541675,0.493
"2993","TMEM127","hurdle",0.932922014470418,4.263176,4.802193,0.539017,0.493
"2361","RGAG4","hurdle",0.86762839294444,2.485913,3.104337,0.618424,0.493
"2130","PKHD1","hurdle",6.47978415959793e-06,-2.038621,3.129283,5.167904,0.493
"1718","MCM8","hurdle",0.0435797595291118,1.337092,4.587965,3.250873,0.493
"1703","MARCH2","hurdle",0.980077513860322,2.707125,6.945444,4.238319,0.493
"1674","LYRM5","hurdle",0.00666086972681003,5.581044,6.672425,1.091381,0.493
"1640","LRCH4","hurdle",0.349474292121716,-0.431463,2.548437,2.9799,0.493
"1585","LOC283856","hurdle",0.411137414713983,1.347826,1.847997,0.500171,0.493
"1249","HS3ST1","hurdle",0.982719759433254,2.470279,3.807355,1.337076,0.493
"1247","HRASLS5","hurdle",0.291581477400505,2.394649,4.165912,1.771263,0.493
"1216","HIP1","hurdle",0.351309410688749,5.113251,6.664625,1.551374,0.493
"1174","GTF3C2","hurdle",0.286921477808508,4.944947,7.051481,2.106534,0.493
"946","FAM188B","hurdle",0.210328837718416,-0.345945,1.104337,1.450282,0.493
"764","DMPK","hurdle",0.987141036793692,1.385822,2.510962,1.12514,0.493
"309","C19orf29","hurdle",0.00148865930245964,-1.487606,2.548437,4.036043,0.493
"299","C17orf28","hurdle",0.797508167203016,3.053767,3.78136,0.727593,0.493
"286","C12orf65","hurdle",0.70918786299666,4.189899,4.768184,0.578285,0.493
"117","AOX1","hurdle",0.0681431918193688,1.689088,5.029011,3.339923,0.493
"86","ALG14","hurdle",0.953129822166491,3.621029,4.548437,0.927408,0.493
"3055","TRIM28","hurdle",0.280213176066787,2.572661,4.703211,2.13055,0.492
"2387","RNF220","hurdle",0.825248381563512,4.767235,5.817623,1.050388,0.492
"2232","PRPF8","hurdle",0.662154082588713,6.72733,7.33226,0.60493,0.492
"2173","POLRMT","hurdle",0.254391700416102,0.8555385,1.9448584,1.0893199,0.492
"2054","PCDHB11","hurdle",0.971305572995362,2.016913,2.523562,0.506649,0.492
"1694","MAP3K4","hurdle",0.948580704233494,5.047608,6.184875,1.137267,0.492
"1341","IRF2BP1","hurdle",0.892444395278882,0.479582,1.137504,0.657922,0.492
"970","FAM76B","hurdle",0.144857429016417,4.721125,5.43796,0.716835000000001,0.492
"813","DYSF","hurdle",0.268449947034738,0.4034221,1.4329594,1.0295373,0.492
"708","CYTH1","hurdle",0.174337223880401,4.323696,5.434628,1.110932,0.492
"674","CTNNA3","hurdle",0.622455180724935,3.414442,3.986411,0.571969,0.492
"372","C7orf23","hurdle",0.0900648229539526,2.76273,4.217231,1.454501,0.492
"358","C4orf48","hurdle",0.346006206718913,-0.7234191,0.5849625,1.3083816,0.492
"232","BEND3","hurdle",0.425485843136333,1.432959,2.277985,0.845026,0.492
"3","ABCA10","hurdle",0.0339094038389329,3.169623,4.61471,1.445087,0.492
"3299","ZNF665","hurdle",0.0467443710929891,1.75186,5.984134,4.232274,0.491
"3013","TMEM93","hurdle",0.0152323658512503,-0.2783591,2.4724878,2.7508469,0.491
"2807","SRC","hurdle",0.108521098257805,0.1813726,2.6892992,2.5079266,0.491
"2663","SLCO3A1","hurdle",0.356326072500881,6.021991,6.695576,0.673585,0.491
"2442","RPP40","hurdle",0.242389994501811,2.229182,4.153805,1.924623,0.491
"2318","RASA3","hurdle",0.0521096267310985,2.42335,3.357552,0.934202,0.491
"2304","RALB","hurdle",0.296505018725706,4.071199,5.539159,1.46796,0.491
"1911","NHEJ1","hurdle",0.0801901721050216,2.018258,4.465974,2.447716,0.491
"1836","MTFP1","hurdle",0.407753928811744,1.118824,1.906891,0.788067,0.491
"1524","LOC100129361","hurdle",0.468104492859637,3.571059,4.157852,0.586793,0.491
"1330","IP6K3","hurdle",0.403876905095688,0.962776,1.925999,0.963223,0.491
"1119","GLI2","hurdle",0.365781188423304,0.6137096,1.2016339,0.5879243,0.491
"960","FAM40A","hurdle",0.855869820188062,5.389138,6.185867,0.796729,0.491
"907","EXD3","hurdle",0.325761248824967,0.1473681,0.8875253,0.7401572,0.491
"885","EPM2A","hurdle",0.0982034789368884,3.808327,6.3733,2.564973,0.491
"839","EFTUD1","hurdle",0.123316048269054,3.642549,5.246028,1.603479,0.491
"537","CFLAR-AS1","hurdle",0.0880565104868544,1.259628,4.346957,3.087329,0.491
"319","C1orf213","hurdle",0.133313279536707,1.215766,3.50462,2.288854,0.491
"3317","ZNF844","hurdle",0.35376148283625,3.392317,5.400879,2.008562,0.49
"3197","WDR41","hurdle",0.110055452324996,5.391604,5.894818,0.503214,0.49
"2954","THAP6","hurdle",0.394215580324312,4.284844,6.809929,2.525085,0.49
"2886","TADA3","hurdle",0.870425090159428,3.504021,4.70044,1.196419,0.49
"2869","SUSD5","hurdle",0.0126797822403168,2.222198,7.389309,5.167111,0.49
"2562","SGCB","hurdle",0.210302906662536,6.786868,7.417853,0.630985,0.49
"2474","RRP12","hurdle",0.146496158188042,2.754686,3.419539,0.664853,0.49
"949","FAM195B","hurdle",0.646072396375405,3.310724,3.97728,0.666556,0.49
"932","FAM120B","hurdle",0.577298679436697,4.904257,5.859224,0.954967,0.49
"547","CHRD","hurdle",0.811263071778477,1.791716,3.008989,1.217273,0.49
"98","ANKRD13A","hurdle",0.729655443844787,5.073869,5.950702,0.876833,0.49
"3283","ZNF426","hurdle",0.691905709739243,4.388294,5.927185,1.538891,0.489
"3251","ZFPM2","hurdle",0.923539206446575,3.590622,5.387156,1.796534,0.489
"3081","TSPAN15","hurdle",0.0744891402947268,1.953669,4.357552,2.403883,0.489
"2767","SNX12","hurdle",0.195248976125573,3.358216,5.081084,1.722868,0.489
"2260","PTGIS","hurdle",0.103343989300774,0.9766749,2.6553518,1.6786769,0.489
"2168","POLR1A","hurdle",0.681851831040983,3.956302,4.770829,0.814527,0.489
"2040","PAQR4","hurdle",0.548249957857626,2.344078,5.439623,3.095545,0.489
"1945","NPIPL3","hurdle",0.523287156406092,2.697086,3.57289,0.875804,0.489
"1942","NPHP3-ACAD11","hurdle",0.542814349823601,1.812014,2.472488,0.660474,0.489
"1744","MFSD12","hurdle",0.109331778320769,0.8764474,2.6322682,1.7558208,0.489
"1492","LIN7A","hurdle",0.214684323244461,1.450993,3.672425,2.221432,0.489
"1072","GABARAPL3","hurdle",3.04321537499553e-07,-2.281664,1.378512,3.660176,0.489
"968","FAM69C","hurdle",0.00256400339382816,0.06649541,5.23649262,5.16999721,0.489
"870","EMD","hurdle",0.395786944713406,0.5630199,1.722466,1.1594461,0.489
"814","E2F5","hurdle",0.252781292037711,1.86976,3.78136,1.9116,0.489
"428","CCDC107","hurdle",0.0251504533875085,0.01892973,3.0617762,3.04284647,0.489
"3307","ZNF766","hurdle",0.038145855940856,3.208423,5.795715,2.587292,0.488
"3110","TYW1B","hurdle",0.18696687607479,2.714608,4.835419,2.120811,0.488
"2503","SCARF1","hurdle",0.107732236031148,1.987012,3.902074,1.915062,0.488
"2100","PHF21A","hurdle",0.187188184425422,4.714505,6.0268,1.312295,0.488
"1701","MAPRE1","hurdle",0.528081178492672,5.625282,6.442114,0.816832,0.488
"1697","MAP4","hurdle",0.0537678760694363,6.718,7.97728,1.25928,0.488
"1534","LOC100132247","hurdle",0.121876669933634,2.715438,3.548437,0.832999,0.488
"1468","LBR","hurdle",0.0137186409886081,5.582522,6.33985,0.757328,0.488
"1237","HMBS","hurdle",0.844205797850933,3.917198,4.9331,1.015902,0.488
"880","ENTPD1","hurdle",0.782156847253659,6.120663,6.69488,0.574217,0.488
"679","CTSK","hurdle",0.816523897971867,4.60266,6.163901,1.561241,0.488
"633","CPSF7","hurdle",0.432961325391162,4.021781,5.055282,1.033501,0.488
"615","COL7A1","hurdle",0.856343782264509,1.563941,2.392317,0.828376,0.488
"295","C16orf57","hurdle",0.929426754200499,2.727818,3.321928,0.59411,0.488
"126","APOA1BP","hurdle",0.285558869428715,4.137039,5.044394,0.907355,0.488
"3267","ZNF16","hurdle",0.46922418411174,2.568078,3.177918,0.60984,0.487
"3227","YOD1","hurdle",0.700860396904578,3.970958,4.78398,0.813022,0.487
"2650","SLC5A6","hurdle",0.211661514945866,3.075888,4.930737,1.854849,0.487
"2444","RPRM","hurdle",0.273574348173481,-0.6879048,0.2016339,0.8895387,0.487
"2266","PTPLAD2","hurdle",0.233193021950674,0.8555385,2.3362834,1.4807449,0.487
"2109","PI15","hurdle",0.270933885865748,3.456707,5.900867,2.44416,0.487
"2102","PHKG1","hurdle",0.107842922183443,1.273206,3.72792,2.454714,0.487
"1691","MAP2K6","hurdle",0.298133375525825,3.401105,5.0268,1.625695,0.487
"1564","LOC100507117","hurdle",0.0612294859297484,2.394649,5.923625,3.528976,0.487
"1121","GLYR1","hurdle",0.636805292862639,4.010003,4.725196,0.715193,0.487
"852","EIF2D","hurdle",0.145671569259359,4.343944,6.034524,1.69058,0.487
"448","CCDC94","hurdle",0.354885210041317,0.9739058,1.5849625,0.6110567,0.487
"310","C19orf35","hurdle",0.743296514207953,-0.1580648,0.5360529,0.6941177,0.487
"163","ARPC5L","hurdle",0.723069335054134,3.404708,4.100137,0.695429,0.487
"96","ANGPT1","hurdle",0.0945577881436534,4.281208,5.298292,1.017084,0.487
"58","AFTPH","hurdle",0.0854829511717654,5.787139,6.599913,0.812774,0.487
"3289","ZNF563","hurdle",0.235059407671949,0.7199893,2.2172307,1.4972414,0.486
"3104","TXLNA","hurdle",0.962805105026923,6.507884,7.525912,1.018028,0.486
"2980","TM9SF1","hurdle",0.829775942397928,3.247928,3.83289,0.584962,0.486
"2802","SPRY4","hurdle",0.139087886657206,1.468805,3.765535,2.29673,0.486
"2647","SLC47A1","hurdle",0.354733402752265,3.472488,4.100137,0.627649,0.486
"2541","SERPINB8","hurdle",0.117139302259908,3.299709,4.840463,1.540754,0.486
"2020","OTUB1","hurdle",0.696858878049531,4.781558,5.509379,0.727821,0.486
"1956","NR6A1","hurdle",0.104463729242462,-0.3253347,1.722466,2.0478007,0.486
"1383","KATNA1","hurdle",0.899091367636003,4.149364,5.421223,1.271859,0.486
"1325","INPP5E","hurdle",0.931473796527311,2.840796,4.632268,1.791472,0.486
"368","C6orf211","hurdle",0.797131364163332,4.424491,5.441284,1.016793,0.486
"220","BCAS4","hurdle",0.0339279650444834,-0.2652137,2.6322682,2.8974819,0.486
"185","ATP1A1OS","hurdle",0.0784903123970947,2.915575,4.802193,1.886618,0.486
"2498","SAP30","hurdle",0.890048592506031,2.467329,3.185867,0.718538,0.485
"1821","MRPL47","hurdle",0.0865249955864816,5.00958,5.686501,0.676921,0.485
"1792","MLEC","hurdle",0.810161468403857,4.785116,6.128252,1.343136,0.485
"1623","LOC729737","hurdle",0.265359448361091,-1.2489486,-0.7369656,0.511983,0.485
"1418","KIF14","hurdle",0.295336483810229,0.4359808,1.5109619,1.0749811,0.485
"806","DUS2L","hurdle",0.269617262521317,3.115373,4.108524,0.993151,0.485
"215","BARD1","hurdle",0.453515052277685,3.865844,6.192786,2.326942,0.485
"3193","WDHD1","hurdle",0.100727138947785,0.4989734,2.5484366,2.0494632,0.484
"2754","SNORD63","hurdle",0.324156911728286,2.76273,3.643856,0.881126,0.484
"2632","SLC35F2","hurdle",0.319453619651653,4.686659,5.469235,0.782576000000001,0.484
"2326","RASSF5","hurdle",0.478186280831761,0.9058014,3.5109619,2.6051605,0.484
"2201","PPPDE1","hurdle",0.101993717140298,4.412015,7.379812,2.967797,0.484
"2114","PIGF","hurdle",0.374095294130665,5.215107,5.909293,0.694186,0.484
"1740","MFHAS1","hurdle",0.483755720575382,4.157928,5.456149,1.298221,0.484
"1593","LOC386758","hurdle",0.474999900781331,3.817623,5.264912,1.447289,0.484
"1352","ISY1","hurdle",0.640173926075865,2.857418,3.452859,0.595441,0.484
"991","FBXW11","hurdle",0.573884618075589,4.501018,5.867896,1.366878,0.484
"922","FAHD2A","hurdle",0.140823477112754,3.51787,4.364572,0.846702,0.484
"370","C6orf89","hurdle",0.833690103166901,4.998553,5.89845,0.899897,0.484
"3195","WDR25","hurdle",0.383131476426451,0.8495084,1.3504972,0.5009888,0.483
"2823","SSRP1","hurdle",0.964643466392332,4.658265,5.953032,1.294767,0.483
"2365","RGS3","hurdle",0.439631759601344,2.301643,3.683696,1.382053,0.483
"2176","POT1","hurdle",0.201783589813322,4.931986,5.774787,0.842801,0.483
"1979","NUPL2","hurdle",0.0097082901802661,5.027384,6.551516,1.524132,0.483
"1783","MIR570","hurdle",0.174229350509542,0.7877794,2.2630344,1.475255,0.483
"1543","LOC100288122","hurdle",0.340100272869545,0.7526678,1.3219281,0.5692603,0.483
"1176","GUCY1A3","hurdle",0.381799176260166,6.27303,7.268191,0.995161,0.483
"1099","GDF11","hurdle",0.495274623737592,3.143369,4.263034,1.119665,0.483
"1016","FLJ27354","hurdle",0.417379120571304,1.866777,2.485427,0.61865,0.483
"176","ATG2A","hurdle",0.690852710393792,1.111283,2.689299,1.578016,0.483
"3268","ZNF257","hurdle",0.0321372976264621,1.255073,4.566815,3.311742,0.482
"3142","USF1","hurdle",0.729204734908304,4.19615,5.707359,1.511209,0.482
"2918","TCP1","hurdle",0.53662161593118,7.527064,8.199427,0.672363,0.482
"2808","SRCAP","hurdle",0.556670451432277,3.462151,5.244126,1.781975,0.482
"2247","PSMD8","hurdle",0.723986969586757,5.29521,5.820179,0.524969,0.482
"2163","PNPLA4","hurdle",0.140622168890918,2.118197,4.217231,2.099034,0.482
"2056","PCDHB5","hurdle",0.152245112689895,1.339245,3.336283,1.997038,0.482
"1466","LASP1","hurdle",0.349954585428247,3.386603,4.744161,1.357558,0.482
"1043","FOXN3","hurdle",0.0395211073731558,5.533998,6.400879,0.866880999999999,0.482
"983","FBXL4","hurdle",0.792819854570031,4.742433,5.778734,1.036301,0.482
"925","FAM104A","hurdle",0.559490472652116,4.747104,5.329124,0.58202,0.482
"748","DEPDC1B","hurdle",0.133452627516623,0.9655665,2.4854268,1.5198603,0.482
"619","COPB2","hurdle",0.947748617335799,6.522171,7.113221,0.59105,0.482
"179","ATG5","hurdle",0.00222298433729553,5.226058,7.297833,2.071775,0.482
"120","AP1S1","hurdle",0.134321500421972,-0.3952125,0.8479969,1.2432094,0.482
"3162","UVRAG","hurdle",0.13023364796085,4.523917,5.139551,0.615634,0.481
"3121","UBE2M","hurdle",0.258521637015922,0.5667003,1.169925,0.6032247,0.481
"3060","TRIM52","hurdle",0.486333813052751,3.750849,4.593951,0.843102,0.481
"2630","SLC35A4","hurdle",0.0519231247462045,3.938659,5.137504,1.198845,0.481
"2469","RQCD1","hurdle",0.908479570785698,3.764934,4.765535,1.000601,0.481
"2367","RHBDD1","hurdle",0.279453619808047,3.943974,4.593951,0.649977,0.481
"1988","OAZ2","hurdle",0.10553864925116,5.287007,6.892391,1.605384,0.481
"1794","MLF1IP","hurdle",0.344168981887327,1.128816,1.722466,0.59365,0.481
"1655","LRRC8C","hurdle",0.899466581137585,3.210189,4.217231,1.007042,0.481
"1637","LPPR2","hurdle",0.257752565920134,3.220155,4.875289,1.655134,0.481
"1221","HIST1H2BC","hurdle",0.299891970569226,2.186764,3.035624,0.84886,0.481
"425","CCDC101","hurdle",0.237867283298078,1.78225,5.083213,3.300963,0.481
"67","AHCYL2","hurdle",0.955619222523861,6.046908,7.311975,1.265067,0.481
"2838","STARD4","hurdle",0.276100654769664,4.366553,5.583459,1.216906,0.48
"2671","SLTM","hurdle",0.871401659457827,6.978899,7.592831,0.613932,0.48
"2248","PSMD9","hurdle",0.751945476247178,4.241754,4.776104,0.53435,0.48
"1922","NLK","hurdle",0.839208924299528,4.659128,5.181898,0.52277,0.48
"1891","NEFM","hurdle",0.426436551989751,4.798872,5.560715,0.761843,0.48
"1834","MTAP","hurdle",0.922671370325575,4.547389,5.249825,0.702436000000001,0.48
"1728","MEP1B","hurdle",0.200102591089806,2.248787,3.82273,1.573943,0.48
"1683","MAML1","hurdle",0.0683377814981976,2.382171,3.1127,0.730529,0.48
"1400","KDM3A","hurdle",0.379042432808238,5.726122,6.405141,0.679019,0.48
"1153","GPR37","hurdle",0.806561656340545,5.674612,6.611025,0.936413,0.48
"957","FAM21A","hurdle",0.340895734307447,0.9543719,1.560715,0.6063431,0.48
"714","DAD1","hurdle",0.0380309773335442,5.675571,6.384568,0.708997,0.48
"383","C9orf100","hurdle",0.0718453506181757,0.7067078,2.9541963,2.2474885,0.48
"3136","UGGT2","hurdle",0.520213140285685,5.933724,7.150763,1.217039,0.479
"3072","TRPC6","hurdle",0.302588006525957,3.345418,4.05745,0.712032,0.479
"2931","TEP1","hurdle",0.893750225163057,2.187959,3.035624,0.847665,0.479
"2565","SGOL2","hurdle",0.0359989041529403,2.614154,5.081084,2.46693,0.479
"2338","RBM7","hurdle",0.788101316752468,4.274191,6.180904,1.906713,0.479
"2207","PRDM2","hurdle",0.823085467365963,6.714479,7.528259,0.81378,0.479
"2159","PMM2","hurdle",0.0771760331026418,1.912324,3.711495,1.799171,0.479
"1294","IFT140","hurdle",0.539502585350832,1.905075,3.590961,1.685886,0.479
"782","DNMT3A","hurdle",0.959622311528151,4.533117,5.656782,1.123665,0.479
"766","DNAH2","hurdle",0.459883251884497,1.375367,2.017922,0.642555,0.479
"468","CD276","hurdle",0.266963034702508,2.87904,3.498251,0.619211,0.479
"374","C7orf50","hurdle",0.259172146398901,1.952263,2.584963,0.6327,0.479
"241","BLMH","hurdle",0.504713525370339,4.058186,5.968091,1.909905,0.479
"3177","VPRBP","hurdle",0.343420794920993,4.584395,5.244126,0.659731,0.478
"2928","TEFM","hurdle",0.583456399018227,4.21884,5.613237,1.394397,0.478
"2634","SLC36A4","hurdle",0.00481723395592765,4.948477,6.46107,1.512593,0.478
"2290","RAB23","hurdle",0.187763121165666,2.10307,3.472488,1.369418,0.478
"1961","NSUN5","hurdle",0.177886136769735,1.229762,2.378512,1.14875,0.478
"1795","MLIP","hurdle",0.255571220901435,2.090342,3.017922,0.92758,0.478
"1732","METTL14","hurdle",0.931977047726226,4.891291,5.571373,0.680082000000001,0.478
"1470","LCMT2","hurdle",0.205417006094986,2.22802,2.847997,0.619977,0.478
"1054","FRS3","hurdle",0.193362292181574,-0.2328649,0.6322682,0.8651331,0.478
"1033","FNTA","hurdle",0.145421781931217,5.353496,6.646019,1.292523,0.478
"1015","FLJ16341","hurdle",0.00094317235449598,-0.9783862,2.4594316,3.4378178,0.478
"237","BICC1","hurdle",0.000691280298952248,0.7331497,4.2816983,3.5485486,0.478
"3155","USP51","hurdle",0.822286715492605,3.685496,4.974988,1.289492,0.477
"3109","TXNL4A","hurdle",0.650832554296724,3.381388,3.916477,0.535089,0.477
"2553","SETD7","hurdle",0.818656962429601,4.228746,5.074677,0.845931,0.477
"2208","PRDX4","hurdle",0.206221954489685,4.065032,4.661065,0.596032999999999,0.477
"2038","PAPPA","hurdle",0.189150536692454,2.836229,4,1.163771,0.477
"1973","NUDT5","hurdle",0.14730430654675,3.842125,5.102238,1.260113,0.477
"1921","NKIRAS2","hurdle",0.605768396797134,3.690143,4.314697,0.624554,0.477
"740","DEAF1","hurdle",0.469209855902955,2.178369,3.97728,1.798911,0.477
"87","ALG3","hurdle",0.787115009756813,2.347291,3.862947,1.515656,0.477
"3311","ZNF780A","hurdle",0.116349579329543,3.850075,5.551516,1.701441,0.476
"2999","TMEM185B","hurdle",0.197463642683456,2.827052,5.731998,2.904946,0.476
"2360","RG9MTD1","hurdle",0.363293376824188,4.997531,5.718362,0.720831,0.476
"2277","PTTG1","hurdle",0.314434413791696,2.837753,3.797013,0.95926,0.476
"1934","NOP2","hurdle",0.0988884420672483,3.537695,4.419539,0.881844000000001,0.476
"1384","KBTBD10","hurdle",0.229322097305371,1.854786,2.689299,0.834513,0.476
"788","DPCD","hurdle",0.371363994615756,3.701068,4.303781,0.602713,0.476
"728","DDX11","hurdle",0.124635652068138,1.584055,3.209453,1.625398,0.476
"118","AP1AR","hurdle",0.378470686062794,3.892116,5.224966,1.33285,0.476
"3301","ZNF696","hurdle",0.767085953353697,2.850641,3.83289,0.982249,0.475
"2332","RBM18","hurdle",0.0675417088482033,4.906074,6.758223,1.852149,0.475
"2107","PHRF1","hurdle",0.868725818154645,2.335475,3.300124,0.964649,0.475
"2073","PDE8B","hurdle",0.687958792940528,5.916432,6.465974,0.549542,0.475
"2063","PCID2","hurdle",0.591601443867069,4.988813,5.802193,0.81338,0.475
"894","ERGIC1","hurdle",0.435330382951327,2.516681,3.061776,0.545095,0.475
"658","CSNK1D","hurdle",0.101141094189265,3.797405,4.520422,0.723017,0.475
"553","CHUK","hurdle",0.592321848879369,4.598621,5.354029,0.755408,0.475
"257","BTBD6","hurdle",0.309234666293589,2.31702,3.371559,1.054539,0.475
"3318","ZNF846","hurdle",0.0078716393966802,3.132235,6.22207,3.089835,0.474
"3093","TTLL1","hurdle",0.0101067114800232,2.274895,5.921246,3.646351,0.474
"2383","RNF168","hurdle",0.925156948590368,5.785166,7.083745,1.298579,0.474
"1917","NIT1","hurdle",0.519968736573529,4.33534,5.65392,1.31858,0.474
"1510","LIPT1","hurdle",0.315315005408465,3.594684,4.285402,0.690718,0.474
"1178","GXYLT1","hurdle",0.250420124559938,3.953845,5.973841,2.019996,0.474
"359","C5orf28","hurdle",0.848425918118805,3.837182,4.88996,1.052778,0.474
"2122","PIK3R4","hurdle",0.368694381321912,5.075807,5.722466,0.646659,0.473
"1974","NUDT7","hurdle",0.128244302796689,2.774712,4.475733,1.701021,0.473
"1207","HEXB","hurdle",0.680191763208546,3.365629,5.294621,1.928992,0.473
"1206","HEXA","hurdle",0.0999516602517749,5.711547,6.484622,0.773075,0.473
"1032","FNDC3A","hurdle",0.81861974204642,6.555718,7.538771,0.983053,0.473
"805","DTYMK","hurdle",0.28974084631955,2.683591,3.716991,1.0334,0.473
"735","DDX49","hurdle",0.710618985206973,3.489068,5.546894,2.057826,0.473
"550","CHST10","hurdle",0.745431405610023,3.241034,5.013462,1.772428,0.473
"231","BDNF","hurdle",0.244335193916605,2.382171,3.201634,0.819463,0.473
"72","AIMP2","hurdle",0.012933805540905,3.116001,5.334497,2.218496,0.473
"3291","ZNF582","hurdle",0.238523592252232,2.643203,3.277985,0.634782,0.472
"3205","WDR92","hurdle",0.198191545949234,3.95068,5.67948,1.7288,0.472
"2817","SRSF8","hurdle",0.568258468370831,4.860513,6.124121,1.263608,0.472
"2772","SNX7","hurdle",0.0363900002179976,3.885869,5.74685,1.860981,0.472
"2506","SCMH1","hurdle",0.194384509242271,3.717301,4.925999,1.208698,0.472
"2348","RCN1","hurdle",0.676524657142249,2.93706,4.669594,1.732534,0.472
"2269","PTPN2","hurdle",0.762000154960574,5.398203,6.463524,1.065321,0.472
"2120","PIK3IP1","hurdle",0.780012959435687,4.078307,4.733354,0.655047000000001,0.472
"2067","PDCD2","hurdle",0.351364403699611,2.886421,3.439623,0.553202,0.472
"1134","GNL3","hurdle",0.842065178927105,5.645434,6.287251,0.641817000000001,0.472
"933","FAM122A","hurdle",0.0532024224573982,2.701277,5.078951,2.377674,0.472
"593","CNTN6","hurdle",0.0586862152424676,3.153805,4.867896,1.714091,0.472
"507","CDK9","hurdle",0.0458163582832235,4.703055,5.960002,1.256947,0.472
"138","ARFGEF2","hurdle",0.0378690218899199,5.701643,7.254084,1.552441,0.472
"2635","SLC37A1","hurdle",0.0444827172783568,1.379558,3.802193,2.422635,0.471
"2362","RGNEF","hurdle",0.758266926055819,3.494391,4.749534,1.255143,0.471
"1506","LINC00473","hurdle",0.120318523538674,0.9849504,2.2927817,1.3078313,0.471
"1195","HDAC8","hurdle",0.74528639833328,4.653731,5.891176,1.237445,0.471
"1078","GALM","hurdle",0.49306833628055,4.147829,4.776104,0.628275,0.471
"916","FAAH2","hurdle",0.056469252466166,2.712949,5.1127,2.399751,0.471
"580","CLYBL","hurdle",0.834891212501838,3.204885,4.757557,1.552672,0.471
"561","CLCN5","hurdle",0.037045392201956,3.822249,7.385,3.562751,0.471
"294","C15orf57","hurdle",0.442515346743005,4.900434,5.934281,1.033847,0.471
"293","C15orf33","hurdle",0.186617335359165,2.56716,3.121015,0.553855,0.471
"283","C12orf32","hurdle",0.230295292416629,3.470033,4.303781,0.833748,0.471
"84","ALDH8A1","hurdle",0.133106871261373,2.332235,3.329124,0.996889,0.471
"3090","TTC9C","hurdle",0.650194567075374,3.695195,4.683696,0.988501,0.47
"3074","TRPM7","hurdle",0.321902030378493,6.110062,7.306973,1.196911,0.47
"2099","PHF20","hurdle",0.105426250582954,6.185605,6.973841,0.788236,0.47
"1735","METTL4","hurdle",0.164412975150928,3.617928,5.789208,2.17128,0.47
"1465","LARP1B","hurdle",0.173391282519487,4.950063,5.683696,0.733633,0.47
"520","CEP120","hurdle",0.22525093805735,4.206802,5.523562,1.31676,0.47
