"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.endothelial","log2fold_change","Auc"
"3096","TUBA1C","hurdle",1.20129812950351e-05,2.703786,6.224966,3.52118,0.702
"2044","PARP14","hurdle",0.000751536883123556,5.550006,7.79214,2.242134,0.701
"1378","JUNB","hurdle",0.00504185369863469,2.994204,4.289097,1.294893,0.701
"2644","SLC39A8","hurdle",5.40026441955656e-07,1.486399,5.948367,4.461968,0.7
"1092","GBP4","hurdle",1.09697532700271e-07,1.255073,5.956521,4.701448,0.7
"504","CDK2","hurdle",7.212190904884e-06,0.5028205,4.2555007,3.7526802,0.7
"2449","RPS15A","hurdle",0.00296459400285453,3.973386,5.104337,1.130951,0.699
"2438","RPLP0","hurdle",0.00803651655453661,4.722363,6.246028,1.523665,0.699
"1314","IL32","hurdle",5.7171153329352e-10,-3.268489,3.749534,7.018023,0.699
"565","CLEC1A","hurdle",1.89482416010198e-09,-3.216959,3.906891,7.12385,0.699
"2420","RPL28","hurdle",0.0142356472845327,4.484819,5.562242,1.077423,0.698
"2398","RPL10","hurdle",0.0118738263561908,5.225185,5.764208,0.539023,0.697
"2085","PERP","hurdle",2.4503868940703e-05,0.6899321,2.9541963,2.2642642,0.697
"3169","VCAM1","hurdle",2.38390563133701e-10,-2.420492,7.711151,10.131643,0.696
"2594","SLC10A1","hurdle",0.00117595505698252,2.955425,4.121015,1.16559,0.696
"2164","PNRC1","hurdle",0.0146967500931838,6.075928,7.522385,1.446457,0.696
"1549","LOC100505495","hurdle",1.24165169970126e-08,-3.167206,2.498251,5.665457,0.696
"1547","LOC100302650","hurdle",2.68784299538989e-05,1.299986,5.623516,4.32353,0.696
"1853","MYCT1","hurdle",1.11820032114934e-08,-3.027481,5.123087,8.150568,0.695
"2894","TANC1","hurdle",0.00105924787627059,4.545059,6.716991,2.171932,0.694
"2816","SRSF7","hurdle",0.0267507753755487,7.865039,8.692964,0.827925,0.694
"2815","SRSF3","hurdle",0.190941445084718,9.52429,10.33192,0.80763,0.694
"1739","MFAP4","hurdle",4.11504972068487e-08,0.07168497,8.13673484,8.06504987,0.694
"1408","KIAA1199","hurdle",0.000158148789553455,3.486642,8.31447,4.827828,0.694
"1185","H3F3B","hurdle",0.0292203864860897,9.839528,10.728218,0.88869,0.694
"282","C11orf96","hurdle",3.02497649241892e-05,1.108761,4.984134,3.875373,0.694
"2447","RPS13","hurdle",0.0158856952679589,5.49276,6.413628,0.920868,0.693
"2077","PDLIM1","hurdle",8.41970686645595e-08,-0.2074982,7.0985585,7.3060567,0.693
"1951","NR2F2","hurdle",0.00296564842879471,5.49807,6.392317,0.894247,0.693
"1463","LAPTM4A","hurdle",0.0119469244158199,6.059125,7.231221,1.172096,0.693
"1055","FRZB","hurdle",8.3930520912693e-06,1.793287,7.499846,5.706559,0.693
"1034","FOS","hurdle",0.00895216476597338,10.26309,10.85007,0.586980000000001,0.693
"3255","ZIC2","hurdle",9.6448837017192e-05,5.943046,6.509379,0.566333,0.692
"2436","RPL7A","hurdle",0.00688530749158341,4.078629,5.545351,1.466722,0.692
"2202","PPRC1","hurdle",0.000170760373451836,3.102753,6.503826,3.401073,0.692
"1722","MECOM","hurdle",8.78406336721839e-09,-2.860024,6.513333,9.373357,0.692
"1204","HERPUD1","hurdle",0.00423046363518853,7.431115,9.313563,1.882448,0.692
"634","CPT1A","hurdle",0.00205890893016657,3.913228,5.100137,1.186909,0.692
"266","C10orf10","hurdle",4.69553865870193e-06,1.141211,5.151778,4.010567,0.692
"2378","RNASE1","hurdle",0.00286760579740378,6.657538,7.957682,1.300144,0.691
"110","ANXA2P1","hurdle",2.40135697029481e-07,-3.0274807,-0.2344653,2.7930154,0.691
"3223","YES1","hurdle",1.72297931169389e-05,3.135956,7.259272,4.123316,0.69
"2912","TCEB2","hurdle",0.00858273134758053,5.740551,6.672425,0.931874,0.69
"2879","SYNPO2","hurdle",9.07906219226539e-05,4.45435,8.349613,3.895263,0.69
"2406","RPL14","hurdle",0.011858979404115,4.818492,6.027906,1.209414,0.69
"868","ELTD1","hurdle",2.13013689730781e-07,0.2966652,5.4076926,5.1110274,0.689
"2419","RPL27A","hurdle",0.0105940812815601,4.00051,4.867896,0.867386,0.688
"2408","RPL19","hurdle",0.0213086982605328,6.215217,7.120497,0.90528,0.688
"2134","PLA1A","hurdle",7.93545629218146e-07,-0.6879048,5.2592725,5.9471773,0.688
"617","COLEC12","hurdle",8.10579807665838e-05,2.716266,4.599913,1.883647,0.688
"540","CHD1","hurdle",0.0447290677857293,7.492231,8.007308,0.515077,0.688
"112","ANXA2P3","hurdle",7.88211080093905e-07,-2.7099985,-0.5145732,2.1954253,0.688
"2684","SMOC2","hurdle",8.29994193065495e-09,-1.951816,6.058533,8.010349,0.687
"2544","SERPING1","hurdle",8.30331044337838e-05,3.920797,8.462707,4.54191,0.687
"2369","RHOA","hurdle",0.00626813621619044,7.882539,9.099874,1.217335,0.687
"2162","PNP","hurdle",0.00220937927117992,4.838609,7.52904,2.690431,0.687
"1750","MGST2","hurdle",0.00188583971769414,3.185268,5.465974,2.280706,0.687
"1279","IFI16","hurdle",0.00546509400074323,5.698187,7.812819,2.114632,0.687
"1012","FLI1","hurdle",4.57335649089656e-07,-1.755228,5.031219,6.786447,0.687
"2183","PPFIBP1","hurdle",0.0163322072377216,5.105839,6.600656,1.494817,0.686
"1111","GIMAP4","hurdle",3.87532184582997e-06,2.917017,5.5157,2.598683,0.686
"1075","GADD45A","hurdle",0.00494095234784839,3.471016,4.840463,1.369447,0.686
"878","ENG","hurdle",4.08307203613229e-06,-0.3880705,6.0617762,6.4498467,0.686
"2029","PABPC4","hurdle",0.00100349077819141,4.298465,5.287251,0.988786,0.685
"1472","LDHA","hurdle",0.00293943980790778,7.908149,8.658569,0.75042,0.685
"1304","IGFBP7","hurdle",0.00256251843625971,3.094491,5.891176,2.796685,0.685
"1158","GPX3","hurdle",1.22859590470759e-06,0.4717519,8.2932417,7.8214898,0.685
"46","ADM","hurdle",0.00107479893917853,2.623902,5.296457,2.672555,0.684
"3244","ZFAND5","hurdle",0.0182291512524333,8.462915,9.881879,1.418964,0.683
"2558","SFPQ","hurdle",0.0484509515558676,6.940189,8.084543,1.144354,0.683
"2366","RGS5","hurdle",5.67940467696618e-06,6.382139,10.08421,3.702071,0.683
"2283","PXN","hurdle",0.00194883824928112,4.222927,7.197708,2.974781,0.683
"1232","HLA-C","hurdle",0.00578767839603079,2.739277,3.877744,1.138467,0.683
"2407","RPL18A","hurdle",0.00492828555814407,1.490279,2.608809,1.11853,0.682
"1455","LAMA4","hurdle",0.00105054066537411,4.15059,6.405992,2.255402,0.682
"1286","IFIH1","hurdle",5.14259446224392e-06,1.682319,5.330917,3.648598,0.682
"827","EDN1","hurdle",0.000336591589148599,3.178068,4.958843,1.780775,0.682
"2157","PMEPA1","hurdle",0.000795444036826177,3.470525,7.075212,3.604687,0.681
"2082","PECAM1","hurdle",2.3490223239944e-05,2.252219,6.377644,4.125425,0.681
"769","DNAJB1","hurdle",0.0150900462217066,7.833761,8.786596,0.952834999999999,0.681
"1913","NID1","hurdle",0.000533589515492854,3.108446,6.906289,3.797843,0.68
"956","FAM214B","hurdle",0.00366669513451831,3.859482,5.127221,1.267739,0.68
"888","EPS8","hurdle",0.00714360278421876,6.178482,7.863877,1.685395,0.68
"1706","MASTL","hurdle",0.0125245555856729,4.44238,5.209453,0.767073,0.679
"1633","LPAR6","hurdle",0.000975455802105316,4.570715,5.305606,0.734891,0.679
"501","CDH6","hurdle",4.17386614385364e-05,3.355559,9.093286,5.737727,0.679
"845","EHD2","hurdle",0.000304802863830096,2.620365,5.543805,2.92344,0.678
"157","ARL4A","hurdle",0.00633017115170905,5.686712,6.929554,1.242842,0.678
"3100","TWIST1","hurdle",7.10458191077913e-10,-3.321928,4.087463,7.409391,0.675
"1117","GJC1","hurdle",8.00497996099362e-05,1.663538,6.071462,4.407924,0.675
"288","C13orf15","hurdle",0.0118856728271673,4.981594,6.311067,1.329473,0.675
"2827","ST6GAL1","hurdle",0.000955259264211193,5.038691,7.704595,2.665904,0.674
"2427","RPL35","hurdle",0.0169168049784063,4.388553,5.475733,1.08718,0.674
"1255","HSP90AB3P","hurdle",0.0146085291925801,6.431667,7.263504,0.831837,0.674
"1025","FLT1","hurdle",1.77006877439828e-07,4.017418,8.734202,4.716784,0.674
"260","BTG2","hurdle",0.0131367117225331,6.190384,8.584023,2.393639,0.674
"3246","ZFHX3","hurdle",0.0189975973764665,5.281558,6.975561,1.694003,0.673
"2355","RELL1","hurdle",0.00131949097985214,6.623378,8.932215,2.308837,0.673
"1902","NFIL3","hurdle",0.00130325536539272,4.213861,6.017922,1.804061,0.673
"1685","MANEA","hurdle",0.00126581147703537,3.957354,5.181898,1.224544,0.673
"324","C1orf64","hurdle",3.05937935515477e-09,-2.709999,5.211402,7.921401,0.673
"2501","SAV1","hurdle",0.00502328338306321,4.171285,5.773469,1.602184,0.672
"1851","MYADM","hurdle",0.00236644293062117,5.187586,7.287251,2.099665,0.672
"1647","LRRC32","hurdle",7.31033218159951e-08,-3.216959,5.906891,9.12385,0.672
"1213","HIGD1B","hurdle",1.90527630141789e-07,0.2966652,7.4785674,7.1819022,0.672
"1066","FXYD5","hurdle",0.000131080517134337,0.3743177,4.4025858,4.0282681,0.672
"861","EIF4G2","hurdle",0.0421188612124816,8.435077,9.453991,1.018914,0.672
"2784","SOX4","hurdle",0.00861244316869756,7.229091,8.508191,1.2791,0.671
"2137","PLAT","hurdle",0.00173971957625946,2.736013,5.846744,3.110731,0.671
"1108","GGT5","hurdle",3.16973367593119e-08,-3.072569,3.129283,6.201852,0.671
"473","CD34","hurdle",2.85617134382482e-11,-3.027481,7.355351,10.382832,0.671
"42","ADCY4","hurdle",1.34211233299867e-09,-3.119111,6.3733,9.492411,0.671
"2775","SOCS3","hurdle",1.25477135638598e-05,-0.04141993,4.21334728,4.25476721,0.67
"2478","RUNDC3B","hurdle",0.00167531824554879,4.332911,7.350939,3.018028,0.67
"1634","LPHN2","hurdle",0.00821616701208806,5.488765,6.415319,0.926554,0.67
"1231","HLA-B","hurdle",0.00968108235352756,1.897788,3.626439,1.728651,0.67
"902","ETF1","hurdle",0.00782175310132479,6.09676,7.13904,1.04228,0.67
"867","ELOVL7","hurdle",1.78024667159189e-05,2.63095,6.53683,3.90588,0.67
"831","EEF1B2","hurdle",0.0124215399040618,4.593218,5.70044,1.107222,0.67
"218","BAZ1A","hurdle",0.00147379862581098,4.382041,6.791163,2.409122,0.67
"3232","ZBTB10","hurdle",0.00302735392330354,5.399494,7.129283,1.729789,0.669
"3213","WTAP","hurdle",0.0287196802106532,7.475015,8.664092,1.189077,0.669
"2487","S100A13","hurdle",0.00945563593341339,4.404065,5.429616,1.025551,0.669
"2272","PTPRB","hurdle",6.08618782933286e-05,2.985982,8.282857,5.296875,0.669
"1368","ITPRIP","hurdle",0.000158374091172894,2.336553,5.571373,3.23482,0.669
"2156","PMAIP1","hurdle",0.000338390862633745,4.655028,5.687901,1.032873,0.668
"1941","NPC2","hurdle",0.0277459303844308,5.137117,6.015694,0.878577,0.668
"836","EFNA1","hurdle",0.00201963464182389,4.625998,7.423326,2.797328,0.668
"458","CCNH","hurdle",0.0036738030670657,6.83811,8.259743,1.421633,0.668
"452","CCL2","hurdle",0.00163067086832813,4.739991,7.043848,2.303857,0.668
"3108","TXNIP","hurdle",0.00758818152726265,6.130022,7.518456,1.388434,0.667
"2652","SLC6A13","hurdle",3.06779852847652e-06,1.65319,5.0268,3.37361,0.667
"2645","SLC41A1","hurdle",0.00549785899614048,3.97823,6.576673,2.598443,0.667
"1745","MFSD2A","hurdle",8.72822281504201e-07,3.263318,7.706323,4.443005,0.667
"768","DNAJA1","hurdle",0.0445963608781111,8.583963,9.712355,1.128392,0.667
"610","COL4A2","hurdle",0.000390764888123494,1.616375,5.137504,3.521129,0.667
"2463","RPS4Y1","hurdle",0.0070429717756788,4.880981,6.156842,1.275861,0.666
"1711","MBOAT1","hurdle",5.26842574146858e-06,0.2562131,4.4059924,4.1497793,0.666
"2384","RNF181","hurdle",0.0258735277977783,4.280088,5.095924,0.815836,0.665
"2215","PRKCH","hurdle",2.3293358455816e-05,3.170227,6.035624,2.865397,0.665
"3222","YBX1","hurdle",0.0193854024726852,4.193772,5.312883,1.119111,0.664
"2973","TLN1","hurdle",0.00475930827446328,4.533352,5.864186,1.330834,0.664
"883","EPHA2","hurdle",1.0390840892154e-05,-0.1339692,3.5172757,3.6512449,0.664
"2466","RPS7","hurdle",0.013568914986092,2.733559,4.201634,1.468075,0.663
"1478","LEPR","hurdle",0.0004152726883323,2.918458,5.348728,2.43027,0.663
"2947","TGFBR2","hurdle",0.000852135506211543,2.580874,5.426265,2.845391,0.662
"2339","RBM8A","hurdle",0.00828857274973557,4.284285,5.809929,1.525644,0.662
"2655","SLC7A11","hurdle",0.012815111324983,7.644088,8.230981,0.586893,0.661
"2446","RPS12","hurdle",0.0528676226696422,5.113565,5.714246,0.600681,0.661
"2416","RPL24","hurdle",0.0369370734314469,4.89934,5.626439,0.727099000000001,0.661
"893","ERG","hurdle",2.21422567685289e-06,-0.7506405,5.4110872,6.1617277,0.661
"701","CYP1B1","hurdle",1.14941796707233e-05,0.07168497,8.18586655,8.11418158,0.661
"480","CD63","hurdle",0.0120266807602125,7.011544,7.718362,0.706818,0.661
"2785","SOX7","hurdle",3.35793546544725e-05,0.3186579,5.5188498,5.2001919,0.66
"869","EMCN","hurdle",4.18521977118844e-07,-2.420492,5.232661,7.653153,0.66
"3322","ZSWIM4","hurdle",0.00166433690260768,0.3658932,2.7441611,2.3782679,0.659
"2950","TGIF1","hurdle",0.00119524198785692,2.666542,4.536053,1.869511,0.659
"1829","MT1A","hurdle",7.627803582132e-05,-0.2012256,3.5668152,3.7680408,0.659
"665","CTBP2","hurdle",0.0342570300267281,3.912505,4.944858,1.032353,0.659
"563","CLEC14A","hurdle",3.74838555779665e-05,0.6523241,4.5360529,3.8837288,0.659
"3041","TOPORS","hurdle",0.0452615979965225,6.329361,8.314243,1.984882,0.658
"3037","TOB2","hurdle",0.0631668830422957,6.323187,6.888134,0.564947,0.658
"1933","NOP10","hurdle",0.0282360322766918,4.404579,5.910493,1.505914,0.658
"2659","SLC9A1","hurdle",0.00611563457183537,2.134407,4.422906,2.288499,0.657
"566","CLEC2B","hurdle",7.70110074411261e-05,2.816271,6.227857,3.411586,0.657
"2352","REL","hurdle",0.00563642489509465,4.725659,6.841722,2.116063,0.656
"2288","RAB13","hurdle",0.000140143139942295,0.4034221,3.6610655,3.2576434,0.656
"2154","PLSCR1","hurdle",0.00784320688050399,3.809492,6.539159,2.729667,0.656
"1446","KRT10","hurdle",0.0101072562211769,2.167503,4.125155,1.957652,0.656
"1282","IFI35","hurdle",0.000186316388154307,1.62699,4.578939,2.951949,0.656
"863","ELF1","hurdle",0.00400763993087284,5.532352,6.780704,1.248352,0.656
"536","CFLAR","hurdle",0.0180532541879046,5.383802,6.973841,1.590039,0.656
"371","C7","hurdle",6.60116492453644e-05,1.464866,7.524738,6.059872,0.656
"1937","NOTCH3","hurdle",6.64398875028844e-06,0.2877734,6.3264295,6.0386561,0.655
"994","FCHO2","hurdle",0.024929380399811,4.32152,4.993221,0.671701000000001,0.655
"972","FAM89A","hurdle",0.000183531898485826,0.2607642,4.5141223,4.2533581,0.655
"3115","UBA52","hurdle",0.0369566486060978,5.300745,6.311975,1.01123,0.654
"2403","RPL13AP20","hurdle",2.33924465936935e-06,-1.869939,4.022368,5.892307,0.653
"2143","PLEKHG1","hurdle",0.00654577819421572,4.498371,6.309249,1.810878,0.653
